species	taxid	accession	fetch_source	note
Scheffersomyces segobiensis virus L	1300323	NC_038697.1	ncbi	Rivera-Gutierrez2023_dietary_viruses
Bell pepper alphaendornavirus	354328	NC_039216.1	ncbi	Rivera-Gutierrez2023_dietary_viruses
Bell pepper mottle virus	368735	NC_009642.1	ncbi	Rivera-Gutierrez2023_dietary_viruses
Pepper mild mottle virus	12239	NC_003630.1	ncbi	Rivera-Gutierrez2023_dietary_viruses
Tropical soda apple mosaic virus	327387	NC_030229.1	ncbi	Rivera-Gutierrez2023_dietary_viruses
Streptocarpus flower break virus	335187	NC_008365.1	ncbi	Aguado-García2020_dietary_viruses
Paprika mild mottle virus	35281	NC_004106.1	ncbi	Aguado-García2020_dietary_viruses
Opuntia virus 2	2200716	NC_040685.2	ncbi	Aguado-García2020_dietary_viruses
Cucumber green mottle mosaic virus	12235	NC_001801.1	ncbi	Aguado-García2020_dietary_viruses
Cactus mild mottle virus	229030	NC_011803.1	ncbi	Aguado-García2020_dietary_viruses
Youcai mosaic virus	228578	NC_004422.1	ncbi	Aguado-García2020_dietary_viruses
Tomato mottle mosaic virus	1391702	NC_022230.1	ncbi	Aguado-García2020_dietary_viruses
Tomato mosaic virus	12253	NC_002692.1	ncbi	Aguado-García2020_dietary_viruses
Tomato brown rugose fruit virus		NC_028478.1	ncbi	Aguado-García2020_dietary_viruses
Tobacco mosaic virus	12242	NC_001367.1	ncbi	Aguado-García2020_dietary_viruses
Tobacco mild green mosaic virus	12241	NC_001556.1	ncbi	Aguado-García2020_dietary_viruses
Rattail cactus necrosis-associated virus	1123754	NC_016442.1	ncbi	Aguado-García2020_dietary_viruses
