accession	fetch_source	note
O36581	uniprot	Multiple sclerosis associated retrovirus
O36580	uniprot	Multiple sclerosis associated retrovirus
Q991W9	uniprot	Multiple sclerosis associated retrovirus
Q9PZ44	uniprot	Multiple sclerosis associated retrovirus
Q9PZ45	uniprot	Multiple sclerosis associated retrovirus
Q9PZ46	uniprot	Multiple sclerosis associated retrovirus
Q9PZ47	uniprot	Multiple sclerosis associated retrovirus
Q9WSY8	uniprot	Human endogenous retrovirus W
A0AAQ5KSX1	uniprot	Human endogenous retrovirus K113
A0AAQ5KSX2	uniprot	Human endogenous retrovirus K115
UPI000018F467	uniparc	Human endogenous retrovirus HCML-ARV
UPI000018F468	uniparc	Human endogenous retrovirus HCML-ARV
UPI000018F469	uniparc	Human endogenous retrovirus HCML-ARV
