protein_id	source	ncbi_taxid	genus	species	description
tr|E7E1Q4|E7E1Q4_BOSIN		9915	Bos	indicus	Beta-lactoglobulin (Fragment) OS=Bos indicus OX=9915 GN=LGB PE=3 SV=1
tr|A0A0M3R8F9|A0A0M3R8F9_BOSIN		9915	Bos	indicus	Beta casein (Fragment) OS=Bos indicus OX=9915 GN=CSN2 PE=4 SV=1
tr|A0A1U9XAP1|A0A1U9XAP1_BOSIN		9915	Bos	indicus	Beta-casein OS=Bos indicus OX=9915 PE=3 SV=1
tr|A0A1U9XAP9|A0A1U9XAP9_BOSIN		9915	Bos	indicus	Beta-casein OS=Bos indicus OX=9915 PE=3 SV=1
tr|A0A1U9XAQ0|A0A1U9XAQ0_BOSIN		9915	Bos	indicus	Beta-casein OS=Bos indicus OX=9915 PE=3 SV=1
tr|A1YT08|A1YT08_BOSIN		9915	Bos	indicus	Beta-casein (Fragment) OS=Bos indicus OX=9915 GN=CSN2 PE=4 SV=1
tr|A8W912|A8W912_BOSIN		9915	Bos	indicus	Alpha lactalbumin OS=Bos indicus OX=9915 PE=3 SV=1
tr|A9QXV0|A9QXV0_BOSIN		9915	Bos	indicus	Kappa-casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|A9YY83|A9YY83_BOSIN		9915	Bos	indicus	Beta casein (Fragment) OS=Bos indicus OX=9915 PE=4 SV=1
tr|B1A4S9|B1A4S9_BOSIN		9915	Bos	indicus	Alpha-lactalbumin OS=Bos indicus OX=9915 PE=3 SV=1
tr|B6CXY7|B6CXY7_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|B6CXY8|B6CXY8_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|B6CXY9|B6CXY9_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|B6CXZ1|B6CXZ1_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|E7E1P5|E7E1P5_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|E7E1P6|E7E1P6_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|E7E1Q0|E7E1Q0_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|E7E1Q2|E7E1Q2_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
tr|E7E1Q3|E7E1Q3_BOSIN		9915	Bos	indicus	Kappa casein (Fragment) OS=Bos indicus OX=9915 GN=CSN3 PE=4 SV=1
