protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000001_000001_000001_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950257
Obelisk_000001_000001_000001_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950257
Obelisk_000001_000001_000002_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950468
Obelisk_000001_000001_000002_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950468
Obelisk_000001_000001_000003_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950297
Obelisk_000001_000001_000003_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950297
Obelisk_000001_000001_000004_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950395
Obelisk_000001_000001_000004_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950395
Obelisk_000001_000001_000005_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950446
Obelisk_000001_000001_000005_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5950446
Obelisk_000001_000001_000006_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000006_2	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000001_000001_000007_1	OBELISK	32644	NA	NA	alpha	Obelisk_000001_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
