accession	fetch_source	note
1A9V_A	pdb	species: Dermatophagoides pteronyssinus; common name: House dust mite; IUIS Allergen: Unassigned; Type: Aero Mite; Group: Dermatophagoides Der p 2 / Der f 2; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 9; curationNote: 
1B6F_A	pdb	species: Betula pendula; common name: European white birch; IUIS Allergen: ; Type: Aero Plant; Group: Betula Bet v 1; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 9; curationNote: 
1CQA_A	pdb	species: Betula pendula; common name: European white birch; IUIS Allergen: Unassigned; Type: Aero Plant; Group: Betula Bet v 2; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 9; curationNote: 
1ESF_B	pdb	species: Staphylococcus aureus; common name: Bacteria; IUIS Allergen: Unassigned; Type: Bacteria skin; Group: Staphylococcus enterotoxin SEA; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 9; curationNote: 
1G5U_A	pdb	species: Hevea brasiliensis; common name: Para rubber tree; IUIS Allergen: ; Type: Contact; Group: Hevea Hev b 8; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 7; curationNote: 
1H2O_A	pdb	species: Prunus avium; common name: Cherry; IUIS Allergen: Unassigned; Type: Food Plant; Group: Pru av 1 Pru a 1; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 9; curationNote: 
1JTI_A	pdb	species: Gallus gallus; common name: chicken; IUIS Allergen: ; Type: Food Animal; Group: Gallus Gal d 2; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 7; curationNote: 
1KTJ_A	pdb	species: Dermatophagoides pteronyssinus; common name: House dust mite; IUIS Allergen: ; Type: Aero Mite; Group: Dermatophagoides Der p 2 / Der f 2; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 7; curationNote: 
1L3P_A	pdb	species: Phleum pratense; common name: Common timothy; IUIS Allergen: ; Type: Aero Plant; Group: Phleum Phl p 5; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 7; curationNote: 
1LLT_A	pdb	species: Betula pendula; common name: European white birch; IUIS Allergen: ; Type: Aero Plant; Group: Betula Bet v 1; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 7; curationNote: 
1N10_A	pdb	species: Phleum pratense; common name: Common timothy; IUIS Allergen: Phl p 2.0101; Type: Aero Plant; Group: Phleum Phl p 1; Allergenicity: IgE plus basophil+ or SPT+; 1st V: 7; curationNote: 
