accession	fetch_source	note
O94769	uniprot	
O43240	uniprot	
P03956	uniprot	
Q8NFW9	uniprot	
Q8WTT2	uniprot	
Q92485	uniprot	
Q96RD9	uniprot	
Q9NYQ6	uniprot	
Q9P2F5	uniprot	
Q9UBJ2	uniprot	
Q9ULT6	uniprot	
P61313	uniprot	
P35268	uniprot	
P14406	uniprot	
P63167	uniprot	
P39023	uniprot	
P14314	uniprot	
P00558	uniprot	
O00159	uniprot	
O15511	uniprot	
P31689	uniprot	
P27361	uniprot	
P12270	uniprot	
P20933	uniprot	
O94986	uniprot	
P42357	uniprot	
P63244	uniprot	
P62888	uniprot	
P62244	uniprot	
P78524	uniprot	
Q04637	uniprot	
Q04912	uniprot	
Q08378	uniprot	
Q12904	uniprot	
Q14697	uniprot	
Q15185	uniprot	
Q4KMZ1	uniprot	
Q4ZHG4	uniprot	
Q5JY77	uniprot	
Q5T0T0	uniprot	
Q6ULP2	uniprot	
Q86XI8	uniprot	
Q8IVG5	uniprot	
Q8N2G6	uniprot	
Q92673	uniprot	
Q92835	uniprot	
Q96L91	uniprot	
Q96M96	uniprot	
Q9BQS8	uniprot	
Q9H1A4	uniprot	
Q9H299	uniprot	
Q9NRW7	uniprot	
Q9UJ70	uniprot	
P04264	uniprot	
P62328	uniprot	
A6NHR9	uniprot	
P22352	uniprot	
P17661	uniprot	
O15040	uniprot	
P12277	uniprot	
P31146	uniprot	
P52849	uniprot	
P23471	uniprot	
P24158	uniprot	
P20273	uniprot	
P11137	uniprot	
P51810	uniprot	
P48378	uniprot	
Q03167	uniprot	
Q05707	uniprot	
Q0VD83	uniprot	
Q13936	uniprot	
Q16610	uniprot	
Q3LXA3	uniprot	
Q5T749	uniprot	
Q6TDP4	uniprot	
Q8N6G6	uniprot	
Q8NB46	uniprot	
Q9NR99	uniprot	
Q9UJF2	uniprot	
P22307	uniprot	
P02675	uniprot	
A6NM62	uniprot	
P13521	uniprot	
P07196	uniprot	
Q02817	uniprot	
Q15431	uniprot	
Q5VU65	uniprot	
UPI00001B3D95	uniparc	No longer in UniProt, updated with uniparc ID
Q86XJ0	uniprot	
Q8N2C7	uniprot	
Q8TD57	uniprot	
Q9BXT6	uniprot	
Q9GZV7	uniprot	
Q9Y2V3	uniprot	
Q86SJ6	uniprot	
Q9UM07	uniprot	
Q6ZWJ8	uniprot	
P52566	uniprot	
P42356	uniprot	
O95153	uniprot	
Q9Y223	uniprot	
Q07654	uniprot	
P80188	uniprot	
Q7LBE3	uniprot	
P49761	uniprot	
Q01581	uniprot	
Q13228	uniprot	
Q13630	uniprot	
Q68DA7	uniprot	
Q7L1Q6	uniprot	
Q8NCD3	uniprot	
Q96RY7	uniprot	
Q9C098	uniprot	
Q9NYF0	uniprot	
Q9UBR2	uniprot	
Q9UGI8	uniprot	
Q9UM47	uniprot	
O00151	uniprot	
O60234	uniprot	
P19338	uniprot	
P62820	uniprot	
P30040	uniprot	
P55084	uniprot	
P61960	uniprot	
Q96DA0	uniprot	
P58499	uniprot	
P35998	uniprot	
P50914	uniprot	
Q12849	uniprot	
Q8IXI2	uniprot	
Q9HC38	uniprot	
Q9UBU9	uniprot	
A6H8Y1	uniprot	
P34096	uniprot	
O94875	uniprot	
O94989	uniprot	
O95071	uniprot	
P38935	uniprot	
Q14376	uniprot	
Q5H8C1	uniprot	
Q86W10	uniprot	
Q96IW7	uniprot	
Q9BYK8	uniprot	
Q9H1B5	uniprot	
Q9ULD2	uniprot	
Q9UPX6	uniprot	
Q9Y5V3	uniprot	
Q6UY01	uniprot	
Q8N434	uniprot	
P07741	uniprot	
O00750	uniprot	
P17987	uniprot	
O43291	uniprot	
P00367	uniprot	
O75037	uniprot	
P49247	uniprot	
O95602	uniprot	
P62899	uniprot	
P15374	uniprot	
P11182	uniprot	
P15822	uniprot	
P48552	uniprot	
Q02487	uniprot	
Q03164	uniprot	
Q14566	uniprot	
Q24JP5	uniprot	
Q460N5	uniprot	
Q6ZS30	uniprot	
Q86W26	uniprot	
Q8NBS9	uniprot	
Q8NEB9	uniprot	
Q92187	uniprot	
Q96KP4	uniprot	
Q96RJ0	uniprot	
Q9C0B7	uniprot	
Q9NVR2	uniprot	
Q2I0M4	uniprot	
P02533	uniprot	
P35749	uniprot	
O14965	uniprot	
O75052	uniprot	
O94921	uniprot	
P52333	uniprot	
P25815	uniprot	
Q14527	uniprot	
Q14533	uniprot	
Q14766	uniprot	
Q5T6X4	uniprot	
Q5VYS8	uniprot	
Q6ZRS2	uniprot	
Q7Z2Y5	uniprot	
Q8N9V6	uniprot	
Q8NFT8	uniprot	
Q96AX9	uniprot	
Q9C0I3	uniprot	
Q9NR82	uniprot	
Q9UIV8	uniprot	
Q9Y238	uniprot	
Q9Y2J0	uniprot	
P04003	uniprot	
P11166	uniprot	
Q14050	uniprot	
Q96BA8	uniprot	
P00734	uniprot	
P04196	uniprot	
O15457	uniprot	
O43451	uniprot	
Q14565	uniprot	
Q14CN4	uniprot	
Q5QJ38	uniprot	
Q5TB30	uniprot	
Q96J65	uniprot	
Q96JB1	uniprot	
Q96MN2	uniprot	
Q9BZV3	uniprot	
Q9NPP4	uniprot	
Q9Y5X4	uniprot	
Q8IUC2	uniprot	
P62847	uniprot	
P05090	uniprot	
P60903	uniprot	
P11717	uniprot	
P36871	uniprot	
P21281	uniprot	
O75150	uniprot	
O95613	uniprot	
P23919	uniprot	
P57076	uniprot	
P21580	uniprot	
P78371	uniprot	
P98082	uniprot	
Q16891	uniprot	
Q38SD2	uniprot	
Q4G0A6	uniprot	
Q5XKE5	uniprot	
Q8IWT3	uniprot	
Q8WX93	uniprot	
Q96MT8	uniprot	
Q9BRF8	uniprot	
Q9BRR3	uniprot	
Q9NV66	uniprot	
Q9NZC9	uniprot	
O95395	uniprot	
P03973	uniprot	
P07108	uniprot	
P14923	uniprot	
P22314	uniprot	
P40926	uniprot	
O14980	uniprot	
P51665	uniprot	
P32780	uniprot	
P83731	uniprot	
Q02790	uniprot	
Q14789	uniprot	
Q15293	uniprot	
