protein_id	source	ncbi_taxid	genus	species	description
T_tenax_NG.00g177750		43075	Trichomonas	tenax	[Histone H3]-lysine(79) N-trimethyltransferase
T_tenax_NG.00g177170		43075	Trichomonas	tenax	1,4-alpha-glucan branching enzyme IIB, chloroplast precursor 
T_tenax_NG.00g084680		43075	Trichomonas	tenax	13 kDa ribonucleoprotein-associated protein
T_tenax_NG.00g117090		43075	Trichomonas	tenax	1300013D05Rik protein 
T_tenax_00g018320		43075	Trichomonas	tenax	14-3-3 protein
T_tenax_00g130540		43075	Trichomonas	tenax	14-3-3 protein
T_tenax_NG.00g013260		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g042270		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g169850		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g014760		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g126360		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g055330		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g069040		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g098510		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g052730		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g144660		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g057820		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g089500		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g101940		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g172830		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g052380		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g100710		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g051030		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g163870		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g153380		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g058160		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g079710		43075	Trichomonas	tenax	14-3-3 protein 
T_tenax_NG.00g053690		43075	Trichomonas	tenax	2-hydroxyacid dehydrogenase HI1556 
